gbifID,language,license,rightsHolder,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,dataGeneralizations,dynamicProperties,occurrenceID,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,occurrenceStatus,eventDate,year,verbatimEventDate,waterBody,countryCode,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,verbatimCoordinateSystem,verbatimSRS,identifiedBy,taxonID,scientificNameID,gbifapi_acceptedScientificName,kingdom,taxonRank,vernacularName,taxonKey,gbifapi_acceptedKey
1721427563,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS382118770,obsr445220,2,NA,NA,NA,NA,2016-02-14T01:00:00Z,2016,NA,NA,BE,Zingem - Mesure,50.901707,3.68469,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1721432518,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS382130721,obsr524706,2,NA,NA,NA,NA,2016-02-14T01:00:00Z,2016,NA,NA,BE,Zingem - Weiden Scheldebrug,50.896104,3.678532,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1722131186,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS384130101,obsr607120,6,NA,NA,NA,NA,2016-03-19T01:00:00Z,2016,NA,NA,BE,Oudergem - Rood-Klooster,50.815277,4.438831,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1722730548,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS384870527,obsr445220,2,NA,NA,NA,NA,2016-03-18T01:00:00Z,2016,NA,NA,BE,Sint-Martens-Latem - Westerplas,51.00028,3.625681,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1723043283,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS385296834,obsr445220,4,NA,NA,NA,NA,2016-03-20T01:00:00Z,2016,NA,NA,BE,Petegem - Langemeerse Zuid,50.822746,3.571715,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1723043468,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS385297158,obsr524706,4,NA,NA,NA,NA,2016-03-20T01:00:00Z,2016,NA,NA,BE,Petegem - Langemeerse Zuid,50.822746,3.571715,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1723484377,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS385845753,obsr607120,2,NA,NA,NA,NA,2016-03-26T01:00:00Z,2016,NA,NA,BE,Brussels - Parc Tenreuken,50.806477,4.427962,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1723751212,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS386138262,obsr529067,1,NA,NA,NA,NA,2016-03-19T01:00:00Z,2016,NA,NA,BE,Gent - Bourgoyen - Ossemeersen,51.06,3.66,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790710384,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS517398762,obsr601569,3,NA,NA,NA,NA,2013-09-21T02:00:00Z,2013,NA,NA,BE,Leefdaal - Plateau,50.843685,4.617777,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790715331,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS517389595,obsr601569,1,NA,NA,NA,NA,2016-11-05T01:00:00Z,2016,NA,NA,BE,Leefdaal - Plateau,50.843685,4.617777,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790716437,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS517399876,obsr601569,10,NA,NA,NA,NA,2013-09-15T02:00:00Z,2013,NA,NA,BE,Leefdaal - Plateau,50.843685,4.617777,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790717143,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS517404116,obsr601569,16,NA,NA,NA,NA,2013-08-26T02:00:00Z,2013,NA,NA,BE,Leefdaal - Plateau,50.843685,4.617777,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
1790718477,NA,CC0_1_0,NA,NA,CLO,EBIRD,NA,NA,HUMAN_OBSERVATION,NA,NA,URN:catalog:CLO:EBIRD:OBS517405746,obsr601569,5,NA,NA,NA,NA,2013-08-24T02:00:00Z,2013,NA,NA,BE,Leefdaal - Plateau,50.843685,4.617777,NA,NA,NA,NA,NA,NA,NA,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,SPECIES,NA,2498252,2498252
