observationID,observationTimestamp,animalCount,animalScientificName,animalVernacularName,animalSex,animalAge,animalBehavior,deploymentStart,deploymentEnd,deploymentCameraHeight,deploymentSamplingPoint,deploymentLatitude,deploymentLongitude
e24ac772-08e9-4082-a400-5737edfe0205,"""2017-06-29T07:28:52.340Z""",1,Homo sapiens,Human,Not specified,Not specified,NA,"""2017-05-08T16:00:03.000Z""","""2017-06-05T15:25:53.000Z""",50,JW_0001,50.911307,5.6391334
3996cdb9-5ad3-47d2-aee9-c37392b68029,"""2017-06-29T11:21:25.617Z""",1,Homo sapiens,Human,Not specified,Not specified,NA,"""2017-05-08T15:04:03.000Z""","""2017-06-05T15:52:40.000Z""",50,JW_0003,50.91286035,5.630264314
87252a69-0762-421f-8766-a7a3f35ab7b9,"""2017-06-29T07:50:23.379Z""",1,Capreolus capreolus,western roe deer,male,Not specified,Observing/Investigating camera trap,"""2017-05-08T15:04:03.000Z""","""2017-06-05T15:52:40.000Z""",50,JW_0003,50.91286035,5.630264314
eb2925f7-b9aa-4b3b-85e4-cbdfb1bc83ca,"""2017-06-29T07:52:20.044Z""",1,Capreolus capreolus,western roe deer,female,Not specified,NA,"""2017-05-08T15:04:03.000Z""","""2017-06-05T15:52:40.000Z""",50,JW_0003,50.91286035,5.630264314
83695a7f-0b38-4e3e-8144-3561a4293a62,"""2017-06-29T07:53:38.084Z""",1,Capreolus capreolus,western roe deer,Not specified,Not specified,NA,"""2017-05-08T15:04:03.000Z""","""2017-06-05T15:52:40.000Z""",50,JW_0003,50.91286035,5.630264314
5f6c84da-1961-42c2-aa7c-165aa6ca709c,"""2017-06-29T07:52:56.382Z""",1,Capreolus capreolus,western roe deer,Not specified,Not specified,NA,"""2017-05-08T15:04:03.000Z""","""2017-06-05T15:52:40.000Z""",50,JW_0003,50.91286035,5.630264314
d901e3d5-7b41-4842-82fd-9520dfa17ea5,"""2017-06-29T07:54:04.908Z""",1,Capreolus capreolus,western roe deer,female,Not specified,NA,"""2017-05-08T15:04:03.000Z""","""2017-06-05T15:52:40.000Z""",50,JW_0003,50.91286035,5.630264314
768dc350-ff02-4515-9877-b01c67848467,"""2017-06-29T08:49:14.010Z""",1,Sus scrofa,wild boar,male,adult,NA,"""2017-05-08T11:00:18.000Z""","""2017-06-05T08:44:45.000Z""",50,JW_0004,50.91692017,5.648492566
680966d0-f42b-4ad6-9732-c1e3328fc146,"""2017-06-29T08:49:54.777Z""",1,Sus scrofa,wild boar,Not specified,subadult,NA,"""2017-05-08T11:00:18.000Z""","""2017-06-05T08:44:45.000Z""",50,JW_0004,50.91692017,5.648492566
eb2302c3-83a5-4c32-af70-1b022df99b88,"""2017-06-29T08:52:12.133Z""",1,Sus scrofa,wild boar,Not specified,Not specified,NA,"""2017-05-08T11:00:18.000Z""","""2017-06-05T08:44:45.000Z""",50,JW_0004,50.91692017,5.648492566
10f0bb08-d7ab-4b5d-a269-10b5241f18f3,"""2017-06-29T08:53:14.938Z""",1,Capreolus capreolus,western roe deer,male,Not specified,NA,"""2017-05-08T11:00:18.000Z""","""2017-06-05T08:44:45.000Z""",50,JW_0004,50.91692017,5.648492566
09735c23-9861-4f30-9972-c2356ab9332f,"""2017-06-29T08:51:45.153Z""",1,Sus scrofa,wild boar,Not specified,Not specified,NA,"""2017-05-08T11:00:18.000Z""","""2017-06-05T08:44:45.000Z""",50,JW_0004,50.91692017,5.648492566
c94242ba-9f9d-458a-afa9-ce9c4fd9d9b2,"""2017-06-29T08:50:22.823Z""",1,Sus scrofa,wild boar,Not specified,Not specified,NA,"""2017-05-08T11:00:18.000Z""","""2017-06-05T08:44:45.000Z""",50,JW_0004,50.91692017,5.648492566
49ef813e-0a00-46a6-ba88-4ed47efc843e,"""2017-06-29T08:51:06.234Z""",1,Sus scrofa,wild boar,Not specified,adult,NA,"""2017-05-08T11:00:18.000Z""","""2017-06-05T08:44:45.000Z""",50,JW_0004,50.91692017,5.648492566
68ee2a5b-3f27-4bbf-9540-3d97f66fec75,"""2017-06-29T11:18:04.681Z""",1,Capreolus capreolus,western roe deer,female,adult,Observing/Investigating camera trap,"""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
ec6bbaa9-8db5-4cfa-933a-d40812967530,"""2017-06-29T11:18:56.417Z""",1,Capreolus capreolus,western roe deer,Not specified,Not specified,NA,"""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
6e67c8d4-6ad9-45d5-bead-a3c979feaf60,"""2017-06-29T11:23:32.105Z""",1,Capreolus capreolus,western roe deer,female,adult,Browsing,"""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
69c1a7bd-5a93-426b-80f0-c2ec595812a8,"""2017-06-29T11:19:22.739Z""",1,Capreolus capreolus,western roe deer,female,Not specified,NA,"""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
6d857c26-8a69-43d2-a54e-f904df69e710,"""2017-06-29T11:24:31.938Z""",1,Capreolus capreolus,western roe deer,unknown,Not specified,NA,"""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
e96d19f4-9d52-497e-b960-3edb99c0b195,"""2017-06-29T11:23:55.177Z""",1,Capreolus capreolus,western roe deer,male,Not specified,"Observing/Investigating camera trap, Browsing","""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
2809388d-1bc9-4f91-baf8-7f84a365c674,"""2017-06-29T11:18:33.307Z""",1,Capreolus capreolus,western roe deer,Not specified,Not specified,Observing/Investigating camera trap,"""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
6b2a445f-6af1-493d-9ac7-a3a6c77d0564,"""2017-06-29T11:25:44.151Z""",1,Capreolus capreolus,western roe deer,female,Not specified,"Observing/Investigating camera trap, Browsing","""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
c5a51c8a-9176-400b-83f9-73372ad9f3a0,"""2017-06-29T11:26:32.958Z""",1,Capreolus capreolus,western roe deer,Not specified,Not specified,"Observing/Investigating camera trap, Browsing","""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
cd109f26-72d4-4bf3-a87a-c26bd7641667,"""2017-06-29T11:27:35.658Z""",1,Capreolus capreolus,western roe deer,Not specified,Not specified,Browsing,"""2017-05-08T12:49:49.000Z""","""2017-06-05T12:31:20.000Z""",50,JW_0005,50.92737724,5.613994055
